2014-11-03 14:05:53 status unpacked libxft2:amd64 2.3.1-1
2014-11-03 14:05:53 status unpacked libxft2:amd64 2.3.1-1
2014-11-03 14:05:53 install fontconfig:amd64 <none> 2.9.0-7.1
2014-11-03 14:05:53 status half-installed fontconfig:amd64 2.9.0-7.1
2014-11-03 14:05:53 status half-installed fontconfig:amd64 2.9.0-7.1
2014-11-03 14:05:53 status unpacked fontconfig:amd64 2.9.0-7.1
2014-11-03 14:05:53 status unpacked fontconfig:amd64 2.9.0-7.1
2014-11-03 14:05:54 install libpango1.0-0:amd64 <none> 1.30.0-1
2014-11-03 14:05:54 status half-installed libpango1.0-0:amd64 1.30.0-1
2014-11-03 14:05:54 status unpacked libpango1.0-0:amd64 1.30.0-1
2014-11-03 14:05:54 status unpacked libpango1.0-0:amd64 1.30.0-1
2014-11-03 14:05:54 install librsvg2-2:amd64 <none> 2.36.1-2
2014-11-03 14:05:54 status half-installed librsvg2-2:amd64 2.36.1-2
2014-11-03 14:05:54 status unpacked librsvg2-2:amd64 2.36.1-2
2014-11-03 14:05:54 status unpacked librsvg2-2:amd64 2.36.1-2
2014-11-03 14:05:54 install libwmf0.2-7:amd64 <none> 0.2.8.4-10.3
2014-11-03 14:05:54 status half-installed libwmf0.2-7:amd64 0.2.8.4-10.3
2014-11-03 14:05:54 status unpacked libwmf0.2-7:amd64 0.2.8.4-10.3
2014-11-03 14:05:54 status unpacked libwmf0.2-7:amd64 0.2.8.4-10.3
2014-11-03 14:05:54 install libmagickcore5-extra:amd64 <none> 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:54 status half-installed libmagickcore5-extra:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:54 status unpacked libmagickcore5-extra:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:54 status unpacked libmagickcore5-extra:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:54 install libpaper1:amd64 <none> 1.1.24+nmu2
2014-11-03 14:05:54 status half-installed libpaper1:amd64 1.1.24+nmu2
2014-11-03 14:05:54 status half-installed libpaper1:amd64 1.1.24+nmu2
2014-11-03 14:05:54 status unpacked libpaper1:amd64 1.1.24+nmu2
2014-11-03 14:05:54 status unpacked libpaper1:amd64 1.1.24+nmu2
2014-11-03 14:05:54 install libxmu6:amd64 <none> 2:1.1.1-1
2014-11-03 14:05:54 status half-installed libxmu6:amd64 2:1.1.1-1
2014-11-03 14:05:54 status unpacked libxmu6:amd64 2:1.1.1-1
2014-11-03 14:05:54 status unpacked libxmu6:amd64 2:1.1.1-1
2014-11-03 14:05:54 install libxpm4:amd64 <none> 1:3.5.10-1
2014-11-03 14:05:54 status half-installed libxpm4:amd64 1:3.5.10-1
2014-11-03 14:05:54 status unpacked libxpm4:amd64 1:3.5.10-1
2014-11-03 14:05:54 status unpacked libxpm4:amd64 1:3.5.10-1
2014-11-03 14:05:55 install libxaw7:amd64 <none> 2:1.0.10-2
2014-11-03 14:05:55 status half-installed libxaw7:amd64 2:1.0.10-2
2014-11-03 14:05:55 status unpacked libxaw7:amd64 2:1.0.10-2
2014-11-03 14:05:55 status unpacked libxaw7:amd64 2:1.0.10-2
2014-11-03 14:05:55 install poppler-data:all <none> 0.4.5-10
2014-11-03 14:05:55 status half-installed poppler-data:all 0.4.5-10
2014-11-03 14:05:55 status unpacked poppler-data:all 0.4.5-10
2014-11-03 14:05:55 status unpacked poppler-data:all 0.4.5-10
2014-11-03 14:05:55 install sgml-base:all <none> 1.26+nmu4
2014-11-03 14:05:55 status half-installed sgml-base:all 1.26+nmu4
2014-11-03 14:05:55 status half-installed sgml-base:all 1.26+nmu4
2014-11-03 14:05:55 status unpacked sgml-base:all 1.26+nmu4
2014-11-03 14:05:55 status unpacked sgml-base:all 1.26+nmu4
2014-11-03 14:05:55 install libsystemd-login0:amd64 <none> 44-11+deb7u4
2014-11-03 14:05:55 status half-installed libsystemd-login0:amd64 44-11+deb7u4
2014-11-03 14:05:55 status unpacked libsystemd-login0:amd64 44-11+deb7u4
2014-11-03 14:05:55 status unpacked libsystemd-login0:amd64 44-11+deb7u4
2014-11-03 14:05:56 install dbus:amd64 <none> 1.6.8-1+deb7u4
2014-11-03 14:05:56 status half-installed dbus:amd64 1.6.8-1+deb7u4
2014-11-03 14:05:56 status half-installed dbus:amd64 1.6.8-1+deb7u4
2014-11-03 14:05:56 status unpacked dbus:amd64 1.6.8-1+deb7u4
2014-11-03 14:05:56 status unpacked dbus:amd64 1.6.8-1+deb7u4
2014-11-03 14:05:56 install fonts-droid:all <none> 20111207+git-1
2014-11-03 14:05:56 status half-installed fonts-droid:all 20111207+git-1
2014-11-03 14:05:56 status unpacked fonts-droid:all 20111207+git-1
2014-11-03 14:05:56 status unpacked fonts-droid:all 20111207+git-1
2014-11-03 14:05:56 install fonts-liberation:all <none> 1.07.2-6
2014-11-03 14:05:56 status half-installed fonts-liberation:all 1.07.2-6
2014-11-03 14:05:56 status unpacked fonts-liberation:all 1.07.2-6
2014-11-03 14:05:56 status unpacked fonts-liberation:all 1.07.2-6
2014-11-03 14:05:56 install libijs-0.35:amd64 <none> 0.35-8
2014-11-03 14:05:56 status half-installed libijs-0.35:amd64 0.35-8
2014-11-03 14:05:56 status unpacked libijs-0.35:amd64 0.35-8
2014-11-03 14:05:56 status unpacked libijs-0.35:amd64 0.35-8
2014-11-03 14:05:56 install libjbig2dec0:amd64 <none> 0.11+20120125-1
2014-11-03 14:05:56 status half-installed libjbig2dec0:amd64 0.11+20120125-1
2014-11-03 14:05:56 status unpacked libjbig2dec0:amd64 0.11+20120125-1
2014-11-03 14:05:56 status unpacked libjbig2dec0:amd64 0.11+20120125-1
2014-11-03 14:05:56 install libgs9-common:all <none> 9.05~dfsg-6.3+deb7u1
2014-11-03 14:05:56 status half-installed libgs9-common:all 9.05~dfsg-6.3+deb7u1
